scorer,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000
bodyparts,pupil1,pupil1,pupil1,pupil2,pupil2,pupil2,pupil3,pupil3,pupil3,pupil4,pupil4,pupil4,eyelid,eyelid,eyelid
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
63,341.9356384277344,148.3603057861328,1.0,354.049072265625,173.76211547851562,1.0,356.5469055175781,156.17276000976562,1.0,339.7915954589844,166.13595581054688,1.0,304.44244384765625,133.3185272216797,1.0
64,343.6683654785156,148.00234985351562,1.0,355.20428466796875,172.5417938232422,1.0,358.3846435546875,155.62327575683594,1.0,341.8666687011719,165.42848205566406,1.0,305.25396728515625,134.0594940185547,1.0
65,343.7425537109375,148.18951416015625,1.0,355.5451965332031,172.43621826171875,1.0,358.5290832519531,155.4138641357422,1.0,341.8260498046875,165.59486389160156,1.0,305.766357421875,135.52052307128906,1.0
66,346.3785095214844,147.85214233398438,1.0,356.1828308105469,172.0873565673828,1.0,359.04327392578125,155.42897033691406,1.0,344.28436279296875,165.66529846191406,1.0,308.3395080566406,133.70285034179688,1.0
67,344.728515625,147.70286560058594,1.0,355.6456298828125,172.82843017578125,1.0,359.02020263671875,155.5364990234375,1.0,341.6777648925781,165.21920776367188,1.0,306.85919189453125,134.93060302734375,1.0
68,342.50396728515625,148.27032470703125,1.0,354.7378234863281,173.9730224609375,1.0,357.3269958496094,156.10728454589844,1.0,340.6341247558594,166.01405334472656,1.0,305.520751953125,136.25323486328125,1.0
69,342.5078125,148.72412109375,1.0,354.06072998046875,173.7158660888672,1.0,356.23480224609375,156.435302734375,1.0,339.66265869140625,166.255126953125,1.0,305.3606872558594,134.30079650878906,1.0
70,342.2456359863281,148.53611755371094,1.0,353.903076171875,173.69247436523438,1.0,356.4095458984375,156.51341247558594,1.0,339.5274353027344,166.08566284179688,1.0,306.165283203125,133.2611846923828,1.0
71,342.4022521972656,148.18466186523438,1.0,353.3467102050781,173.41217041015625,1.0,356.8421325683594,156.5526580810547,1.0,339.39263916015625,166.10020446777344,1.0,305.6657409667969,134.2191925048828,1.0
72,342.14208984375,147.74749755859375,1.0,354.1854553222656,173.84799194335938,1.0,356.5709228515625,155.8946990966797,1.0,339.66717529296875,166.05953979492188,1.0,305.5216064453125,133.884765625,1.0
73,342.60638427734375,148.03746032714844,1.0,354.2771911621094,174.3541259765625,1.0,356.63714599609375,156.56546020507812,1.0,339.8846740722656,166.24806213378906,1.0,304.1737976074219,135.64474487304688,1.0
